"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",992,"763,000","2,224,490","1,589,583"
"Common carp","1500","3","0.68",506,"337,653","496,549","1,012,960"
"Silver carp","1500","3","0.68",14,"9,247","13,598","27,740"
"Sea trout","1300","2.083","0.343",3,"2,385","6,952","4,968"
"African sharptooth catfish","","","",885,"","",""
"Grass carp(=White amur)","","","",28,"","",""
"Wels(=Som) catfish","","","",8,"","",""
"Northern pike","","","",5,"","",""
"Brook trout","","","",3,"","",""
"Pike-perch","","","",1,"","",""
