"Partner Country","Species","Quantity (t)"
"Germany","Bass and bream","636"
"Denmark","Bass and bream","353"
"Croatia","Salmonids","188"
"Austria","Bass and bream","144"
"Croatia","Bass and bream","116"
"Hungary","Bass and bream","82"
"Sweden","Bass and bream","55"
"Italy","Bass and bream","44"
"Austria","Salmonids","20"
"Latvia","Salmonids","8"
"Serbia","Bass and bream","6"
"Netherlands","Bass and bream","4"
"Bulgaria","Salmonids","4"
"Other","Salmonids","3"
"Sweden","Carp","2"
"Czechia","Salmonids","2"
"Serbia","Salmonids","2"
"Germany","Salmonids","2"
"Italy","Salmonids","1"
"Estonia","Salmonids","1"
"Austria","Carp","1"
"Netherlands","Salmonids","1"
"Hungary","Carp","0"
"North Macedonia","Salmonids","0"
"Bosnia and Herzegovina","Salmonids","0"
"Cyprus","Salmonids","0"
"Lithuania","Salmonids","0"
"Cyprus","Bass and bream","0"
"Spain","Salmonids","0"
"Montenegro","Salmonids","0"
"Croatia","Carp","0"
"Spain","Bass and bream","0"
"Slovakia","Salmonids","0"
"Denmark","Salmonids","0"
