"Partner Country","Species","Quantity (t)"
"Türkiye","Bass and bream","714"
"Croatia","Bass and bream","670"
"Germany","Salmonids","237"
"Italy","Salmonids","236"
"Czechia","Salmonids","218"
"Netherlands","Salmonids","155"
"Netherlands","Bass and bream","131"
"Greece","Bass and bream","128"
"Italy","Bass and bream","114"
"Lithuania","Salmonids","102"
"Croatia","Salmonids","99"
"Other","Salmonids","54"
"Denmark","Salmonids","42"
"Poland","Salmonids","32"
"Spain","Salmonids","31"
"Spain","Bass and bream","13"
"Croatia","Carp","10"
"France","Salmonids","7"
"Hungary","Salmonids","6"
"Netherlands","Carp","4"
"Portugal","Salmonids","4"
"Finland","Salmonids","1"
"Denmark","Bass and bream","1"
"Türkiye","Carp","1"
"Austria","Salmonids","1"
"Germany","Bass and bream","1"
"Other","Bass and bream","1"
"France","Bass and bream","0"
"Hungary","Carp","0"
"Austria","Bass and bream","0"
"Austria","Carp","0"
