"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",733,"563,538","1,642,969","1,174,038"
"European seabass","400","2.083","0.214",49,"121,750","568,925","253,646"
"Gilthead seabream","350","2.083","0.26",38,"107,714","414,286","224,405"
"Common carp","1500","3","0.68",124,"82,400","121,176","247,200"
"North African catfish","1500","1","0.3",76,"50,867","169,556","50,867"
"Freshwater bream","350","2.083","0.26",7,"18,857","72,527","39,286"
"Sea trout","1300","2.083","0.343",10,"7,308","21,305","15,224"
"Trouts nei","1300","2.083","0.343",2,"1,692","4,934","3,526"
"Silver carp","1500","3","0.68",1,"733","1,078","2,200"
"Cyprinids nei","1500","3","0.68",1,"533","784","1,600"
"Sturgeons nei","6000","1","0.3",3,"433","1,444","433"
"Brook trout","","","",51,"","",""
"Northern pike","","","",5,"","",""
"Huchen","","","",5,"","",""
"Grass carp(=White amur)","","","",2,"","",""
"Tench","","","",2,"","",""
"Pike-perch","","","",1,"","",""
