"Partner Country","Species","Quantity (t)"
"Portugal","Bass and bream","14,135"
"Portugal","Salmonids","8,247"
"France","Bass and bream","3,131"
"Other","Bass and bream","3,085"
"Italy","Bass and bream","2,661"
"France","Salmonids","1,467"
"Greece","Bass and bream","912"
"Italy","Salmonids","833"
"Netherlands","Bass and bream","617"
"Other","Salmonids","594"
"United Kingdom","Bass and bream","429"
"Germany","Bass and bream","295"
"Belgium","Bass and bream","242"
"Ireland","Bass and bream","168"
"Andorra","Salmonids","148"
"Greece","Salmonids","133"
"Croatia","Bass and bream","109"
"Denmark","Salmonids","103"
"Poland","Salmonids","93"
"Morocco","Bass and bream","90"
"Germany","Salmonids","68"
"Hungary","Salmonids","57"
"Croatia","Salmonids","55"
"Sweden","Salmonids","46"
"Andorra","Bass and bream","41"
"Romania","Salmonids","39"
"Belgium","Salmonids","39"
"Poland","Bass and bream","31"
"Slovenia","Salmonids","31"
"France","Carp","27"
"Netherlands","Salmonids","25"
"Moldova","Salmonids","23"
"Austria","Bass and bream","21"
"North Macedonia","Salmonids","15"
"Morocco","Salmonids","14"
"United Kingdom","Salmonids","14"
"Ireland","Salmonids","11"
"Malta","Salmonids","6"
"Slovenia","Bass and bream","6"
"Serbia","Salmonids","6"
"Sweden","Bass and bream","5"
"Bulgaria","Salmonids","5"
"Bosnia and Herzegovina","Salmonids","5"
"Montenegro","Salmonids","4"
"Belgium","Carp","4"
"Denmark","Bass and bream","4"
"Lithuania","Salmonids","4"
"Latvia","Salmonids","4"
"Czechia","Bass and bream","4"
"Italy","Carp","3"
"Cyprus","Salmonids","3"
"Norway","Salmonids","2"
"Czechia","Salmonids","1"
"Türkiye","Salmonids","1"
"Hungary","Bass and bream","1"
"Austria","Salmonids","1"
"Libya","Salmonids","0"
"Estonia","Salmonids","0"
"Switzerland","Bass and bream","0"
"Romania","Bass and bream","0"
"Bulgaria","Bass and bream","0"
"Netherlands","Carp","0"
"Romania","Carp","0"
"Albania","Salmonids","0"
"Malta","Bass and bream","0"
"United Kingdom","Carp","0"
"Portugal","Carp","0"
"Iceland","Salmonids","0"
"Switzerland","Salmonids","0"
"Finland","Bass and bream","0"
"Germany","Carp","0"
"Cyprus","Bass and bream","0"
"Slovakia","Salmonids","0"
