"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"European seabass","400","2.083","0.214",24121,"60,303,062","281,790,012","125,631,380"
"Gilthead seabream","350","2.083","0.26",9038,"25,822,717","99,318,143","53,797,327"
"Rainbow trout","1300","2.083","0.343",16465,"12,665,761","36,926,416","26,387,002"
"Turbot","1300","1","0.3",8702,"6,693,935","22,313,115","6,693,935"
"Whiteleg shrimp","17","0.411","0.17",50,"2,941,176","17,301,038","1,207,875"
"Meagre","2500","1","0.3",4525,"1,809,970","6,033,235","1,809,970"
"Sturgeons nei","6000","1","0.3",30,"5,000","16,667","5,000"
"Atlantic bluefin tuna","","","",13145,"","",""
"Red swamp crawfish","","","",3000,"","",""
"Senegalese sole","","","",1192,"","",""
"European eel","","","",350,"","",""
"Atlantic ditch shrimp","","","",347,"","",""
"Marine fishes nei","","","",262,"","",""
"Greater amberjack","","","",200,"","",""
"Mullets nei","","","",49,"","",""
"Freshwater fishes nei","","","",14,"","",""
"Siberian sturgeon","","","",11,"","",""
"Tench","","","",6,"","",""
"White seabream","","","",1,"","",""
"Caramote prawn","","","",1,"","",""
"Spotted seabass","","","",0,"","",""
