"Partner Country","Species","Quantity (t)"
"Poland","Salmonids","130,188"
"France","Salmonids","93,569"
"Spain","Salmonids","81,358"
"Italy","Salmonids","62,221"
"Netherlands","Salmonids","56,484"
"Germany","Salmonids","34,425"
"Lithuania","Salmonids","33,798"
"Belgium","Salmonids","11,681"
"Portugal","Salmonids","9,741"
"Denmark","Salmonids","9,390"
"Czechia","Salmonids","8,987"
"Finland","Salmonids","7,289"
"Estonia","Salmonids","5,337"
"Latvia","Salmonids","4,451"
"Romania","Salmonids","4,118"
"Ireland","Salmonids","2,987"
"Other","Salmonids","1,154"
"Greece","Salmonids","1,129"
"Austria","Salmonids","981"
"Bulgaria","Salmonids","819"
"Hungary","Salmonids","645"
"Cyprus","Salmonids","420"
"Norway","Salmonids","251"
"United Kingdom","Salmonids","138"
"Switzerland","Salmonids","70"
"Serbia","Salmonids","28"
"Denmark","Bass and bream","27"
"Malta","Salmonids","21"
"Croatia","Salmonids","9"
"Norway","Bass and bream","7"
"Finland","Bass and bream","4"
"Morocco","Salmonids","3"
"Iceland","Salmonids","2"
"Norway","Carp","1"
"Egypt","Salmonids","1"
"Denmark","Carp","0"
"Estonia","Bass and bream","0"
"Faroe Islands","Salmonids","0"
"Finland","Carp","0"
