"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","537,549"
"Poland","Salmonids","3,033"
"Denmark","Salmonids","1,486"
"Germany","Salmonids","885"
"Other","Salmonids","630"
"Netherlands","Salmonids","400"
"Estonia","Salmonids","369"
"Denmark","Bass and bream","248"
"Other","Carp","242"
"Netherlands","Bass and bream","224"
"Slovenia","Bass and bream","58"
"Iceland","Salmonids","46"
"Finland","Salmonids","28"
"Spain","Salmonids","27"
"Belgium","Salmonids","21"
"France","Salmonids","9"
"Finland","Bass and bream","7"
"Türkiye","Bass and bream","5"
"Romania","Salmonids","5"
"Latvia","Salmonids","2"
"Croatia","Carp","1"
"Italy","Salmonids","1"
"Spain","Bass and bream","0"
"Netherlands","Carp","0"
"Denmark","Carp","0"
"Germany","Bass and bream","0"
"Norway","Bass and bream","0"
"Greece","Bass and bream","0"
"Bulgaria","Salmonids","0"
"United Kingdom","Salmonids","0"
