"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","6,880"
"France","Salmonids","1,891"
"Netherlands","Salmonids","1,252"
"United Kingdom","Salmonids","1,174"
"Other","Salmonids","1,074"
"Denmark","Salmonids","1,070"
"Ireland","Salmonids","1,064"
"Italy","Bass and bream","865"
"Germany","Salmonids","842"
"Greece","Bass and bream","659"
"Faroe Islands","Salmonids","617"
"Poland","Salmonids","473"
"France","Bass and bream","418"
"Croatia","Bass and bream","289"
"Germany","Bass and bream","226"
"Lithuania","Salmonids","210"
"Italy","Salmonids","103"
"Netherlands","Bass and bream","83"
"Spain","Bass and bream","83"
"France","Carp","43"
"Türkiye","Bass and bream","33"
"Portugal","Salmonids","28"
"Iceland","Salmonids","13"
"Hungary","Bass and bream","12"
"Other","Carp","12"
"Belgium","Salmonids","9"
"Germany","Carp","8"
"Portugal","Bass and bream","7"
"Other","Bass and bream","7"
"Belgium","Carp","6"
"Finland","Salmonids","5"
"Spain","Salmonids","5"
"Netherlands","Carp","5"
"United Kingdom","Bass and bream","4"
"Estonia","Salmonids","3"
"Sweden","Salmonids","2"
"Italy","Carp","2"
"Norway","Bass and bream","1"
"Estonia","Bass and bream","1"
"Latvia","Carp","1"
"Austria","Salmonids","0"
"Iceland","Bass and bream","0"
"Denmark","Bass and bream","0"
"Malta","Bass and bream","0"
"Morocco","Bass and bream","0"
"Belgium","Bass and bream","0"
"Türkiye","Salmonids","0"
"Ireland","Bass and bream","0"
"Latvia","Salmonids","0"
"Poland","Carp","0"
"Greece","Salmonids","0"
"Tunisia","Bass and bream","0"
"Austria","Carp","0"
"Hungary","Salmonids","0"
