"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",1300,"1,000,000","2,915,452","2,083,333"
"Whiteleg shrimp","17","0.411","0.17",15,"882,353","5,190,311","362,363"
"Atlantic salmon","4600","2.083","0.376",240,"52,174","138,760","108,696"
"Sea trout","1300","2.083","0.343",30,"23,077","67,280","48,077"
"European perch","","","",470,"","",""
"Freshwater fishes NEI","","","",300,"","",""
"Chars NEI","","","",60,"","",""
"Pike-perch","","","",60,"","",""
"Sturgeons NEI","","","",50,"","",""
"Masu(=Cherry) salmon","","","",2,"","",""
"Barramundi(=Giant seaperch)","","","",1,"","",""
"Grayling","","","",1,"","",""
