"Partner Country","Species","Quantity (t)"
"Other","Bass and bream","35,808"
"Greece","Bass and bream","19,444"
"Italy","Bass and bream","17,429"
"United Kingdom","Bass and bream","11,143"
"Netherlands","Bass and bream","10,865"
"Spain","Bass and bream","8,427"
"Portugal","Bass and bream","5,310"
"Other","Carp","2,858"
"Romania","Bass and bream","1,816"
"France","Bass and bream","1,755"
"Germany","Bass and bream","1,719"
"Slovenia","Bass and bream","1,382"
"Other","Salmonids","1,319"
"Cyprus","Bass and bream","868"
"Libya","Bass and bream","456"
"Lithuania","Bass and bream","414"
"Poland","Bass and bream","297"
"Bulgaria","Bass and bream","244"
"Cyprus","Salmonids","190"
"Netherlands","Carp","59"
"Germany","Salmonids","24"
"Netherlands","Salmonids","14"
"Cyprus","Carp","14"
"Serbia","Bass and bream","12"
"Italy","Salmonids","11"
"Denmark","Salmonids","11"
"Belgium","Salmonids","10"
"France","Salmonids","9"
"Ireland","Bass and bream","9"
"Malta","Salmonids","8"
"Bulgaria","Carp","7"
"Croatia","Bass and bream","5"
"Malta","Bass and bream","4"
"Slovenia","Carp","3"
"Switzerland","Bass and bream","3"
"Belarus","Bass and bream","3"
"United Kingdom","Salmonids","3"
"Belgium","Bass and bream","3"
"North Macedonia","Bass and bream","2"
"Sweden","Bass and bream","2"
"Portugal","Salmonids","2"
"Austria","Salmonids","2"
"Greece","Carp","1"
"Greece","Salmonids","1"
"Austria","Bass and bream","1"
"Norway","Salmonids","1"
"Denmark","Bass and bream","1"
"Spain","Salmonids","0"
"Egypt","Salmonids","0"
"Croatia","Salmonids","0"
"Algeria","Salmonids","0"
"Bulgaria","Salmonids","0"
"United Kingdom","Carp","0"
"Belarus","Salmonids","0"
"Norway","Bass and bream","0"
"Moldova","Bass and bream","0"
"Estonia","Salmonids","0"
"Egypt","Bass and bream","0"
"Sweden","Salmonids","0"
"Switzerland","Salmonids","0"
"Libya","Salmonids","0"
"Romania","Salmonids","0"
"Morocco","Salmonids","0"
"Faroe Islands","Salmonids","0"
"Lithuania","Salmonids","0"
"Montenegro","Salmonids","0"
"Finland","Salmonids","0"
"Moldova","Salmonids","0"
"Poland","Salmonids","0"
"Ireland","Salmonids","0"
"Latvia","Salmonids","0"
"Spain","Carp","0"
