"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","5,634"
"United Kingdom","Salmonids","88"
"Egypt","Bass and bream","87"
"Other","Bass and bream","45"
"Netherlands","Salmonids","26"
"Other","Salmonids","23"
"United Kingdom","Bass and bream","20"
"Italy","Bass and bream","18"
"France","Salmonids","14"
"Greece","Salmonids","3"
"Spain","Salmonids","2"
"Netherlands","Bass and bream","2"
"Denmark","Salmonids","1"
"Poland","Bass and bream","1"
"Austria","Salmonids","1"
"Bulgaria","Salmonids","0"
"Lithuania","Salmonids","0"
"Portugal","Salmonids","0"
"Belarus","Salmonids","0"
"Poland","Salmonids","0"
