"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Gilthead seabream","350","1.667","0.2",152469,"435,625,714","2,178,128,571","726,042,857"
"European seabass","450","1.583","0.26",156602,"348,004,444","1,338,478,632","551,007,037"
"Rainbow trout","4000","1.125","0.19",144347,"36,086,750","189,930,263","40,597,594"
"Rainbow trout","4000","1.125","0.19",45454,"11,363,500","59,807,895","12,783,938"
"Meagre","1500","0.917","0.2",4771,"3,180,667","15,903,333","2,915,611"
"Whiteleg shrimp","17","0.411","0.17",19,"1,117,647","6,574,394","458,993"
"Trouts nei","4000","3","0.19",1302,"325,500","1,713,158","976,500"
"Common carp","1000","0.375","0.5",293,"293,000","586,000","109,875"
"Sturgeons nei","600","0.542","0.27",1,"1,667","6,173","903"
"Tilapias nei","450","0.583","0.15",0,"0","0","0"
"Trouts nei","4000","3","0.19",0,"0","0","0"
"Atlantic bluefin tuna","","","",3879,"","",""
"Wels(=Som) catfish","","","",95,"","",""
"Red porgy","","","",28,"","",""
"Shi drum","","","",18,"","",""
"Pink dentex","","","",5,"","",""
"White grouper","","","",1,"","",""
