"Species","Production (t)","Harvest_weight_g","Harvest_age_years","Mortality_rate","Individuals_slaughtered","Individuals_hatched","Individuals_inventory"
"Gilthead seabream",152469,"350","1.667","0.2","435,625,714","2,178,128,571","726,042,857"
"European seabass",156602,"450","1.583","0.26","348,004,444","1,338,478,632","551,007,037"
"Rainbow trout",144347,"4000","1.125","0.19","36,086,750","189,930,263","40,597,594"
"Rainbow trout",45454,"4000","1.125","0.19","11,363,500","59,807,895","12,783,938"
"Meagre",4771,"1500","0.917","0.2","3,180,667","15,903,333","2,915,611"
"Whiteleg shrimp",19,"17","0.411","0.17","1,117,647","6,574,394","458,993"
"Trouts nei",1302,"4000","3","0.19","325,500","1,713,158","976,500"
"Common carp",293,"1000","0.375","0.5","293,000","586,000","109,875"
"Sturgeons nei",1,"600","0.542","0.27","1,667","6,173","903"
"Tilapias nei",0,"450","0.583","0.15","0","0","0"
"Trouts nei",0,"4000","3","0.19","0","0","0"
"Atlantic bluefin tuna",3879,"","","","","",""
"Wels(=Som) catfish",95,"","","","","",""
"Red porgy",28,"","","","","",""
"Shi drum",18,"","","","","",""
"Pink dentex",5,"","","","","",""
"White grouper",1,"","","","","",""
