"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","62,643"
"Faroe Islands","Salmonids","12,519"
"Türkiye","Bass and bream","11,125"
"Other","Salmonids","10,393"
"Other","Carp","5,242"
"Poland","Salmonids","3,475"
"Ireland","Salmonids","2,154"
"Iceland","Salmonids","1,525"
"Greece","Bass and bream","1,218"
"Hungary","Carp","356"
"Spain","Bass and bream","309"
"France","Salmonids","304"
"Denmark","Salmonids","288"
"Poland","Carp","249"
"United Kingdom","Salmonids","187"
"France","Bass and bream","138"
"Germany","Salmonids","101"
"Netherlands","Salmonids","89"
"Sweden","Salmonids","73"
"Other","Bass and bream","32"
"Spain","Salmonids","16"
"Lithuania","Salmonids","16"
"France","Carp","12"
"Romania","Carp","7"
"Lithuania","Carp","7"
"Belgium","Salmonids","6"
"Latvia","Carp","5"
"Bulgaria","Carp","5"
"Hungary","Bass and bream","5"
"Latvia","Salmonids","4"
"Switzerland","Salmonids","1"
"Spain","Carp","1"
"Bulgaria","Salmonids","1"
"Germany","Bass and bream","0"
"United Kingdom","Bass and bream","0"
"Türkiye","Salmonids","0"
"Portugal","Bass and bream","0"
"Italy","Salmonids","0"
"Morocco","Bass and bream","0"
"Portugal","Salmonids","0"
"Finland","Salmonids","0"
