"","ISO2_Code","Species_custom","VALUE","Country"
"1","AL","Bass and bream",6574,"Albania"
"2","AL","Salmonids",1316,"Albania"
"3","AT","Catfish",430.88,"Austria"
"4","AT","Salmonids",2202.41,"Austria"
"5","AT","Other",1515.53,"Austria"
"6","AT","Carp",569.898,"Austria"
"7","BA","Bass and bream",109.7,"Bosnia and Herzegovina"
"8","BA","Salmonids",3386.9,"Bosnia and Herzegovina"
"9","BA","Carp",349.3,"Bosnia and Herzegovina"
"10","BA","Other",74,"Bosnia and Herzegovina"
"11","BE","Other",243,"Belgium"
"12","BG","Catfish",306.52,"Bulgaria"
"13","BG","Carp",3491.01,"Bulgaria"
"14","BG","Other",669.69,"Bulgaria"
"15","BG","Salmonids",3618.69,"Bulgaria"
"16","BY","Other",965.9,"Belarus"
"17","BY","Carp",5941.7,"Belarus"
"18","BY","Catfish",2,"Belarus"
"19","BY","Salmonids",254.8,"Belarus"
"20","CH","Salmonids",1526,"Switzerland"
"21","CH","Other",974,"Switzerland"
"22","CZ","Other",1925,"Czechia"
"23","CZ","Carp",16646,"Czechia"
"24","CZ","Catfish",250,"Czechia"
"25","CZ","Salmonids",438,"Czechia"
"26","DE","Carp",4131,"Germany"
"27","DE","Catfish",493,"Germany"
"28","DE","Other",4682,"Germany"
"29","DE","Salmonids",8558,"Germany"
"30","DK","Salmonids",25686,"Denmark"
"31","DK","Other",3679.7,"Denmark"
"32","EE","Carp",16.409,"Estonia"
"33","EE","Other",106.896,"Estonia"
"34","EE","Salmonids",677.514,"Estonia"
"35","ES","Salmonids",16465.489,"Spain"
"36","ES","Bass and bream",33159.176,"Spain"
"37","ES","Other",23183.167,"Spain"
"38","ES","Turbot",8702.115,"Spain"
"39","FI","Salmonids",15253,"Finland"
"40","FI","Other",1027.6,"Finland"
"41","FR","Other",6094.964,"France"
"42","FR","Bass and bream",1472.448,"France"
"43","FR","Carp",990.113,"France"
"44","FR","Salmonids",33673.755,"France"
"45","GB","Other",842.01,"United Kingdom of Great Britain and Northern Ireland"
"46","GB","Salmonids",182884.465,"United Kingdom of Great Britain and Northern Ireland"
"47","GB","Carp",277.741,"United Kingdom of Great Britain and Northern Ireland"
"48","GR","Salmonids",1900,"Greece"
"49","GR","Bass and bream",117460.166,"Greece"
"50","GR","Other",11833.56,"Greece"
"51","GR","Carp",7.51,"Greece"
"52","HR","Bass and bream",17496.3,"Croatia"
"53","HR","Carp",3335.25,"Croatia"
"54","HR","Salmonids",512.04,"Croatia"
"55","HR","Other",4700,"Croatia"
"56","HU","Other",7841.285,"Hungary"
"57","HU","Carp",11057.453,"Hungary"
"58","HU","Salmonids",49.025,"Hungary"
"59","IE","Salmonids",12314,"Ireland"
"60","IE","Other",0,"Ireland"
"61","IS","Other",5285,"Iceland"
"62","IS","Salmonids",46065,"Iceland"
"63","IT","Bass and bream",13175.4,"Italy"
"64","IT","Carp",198.7,"Italy"
"65","IT","Other",3933.3,"Italy"
"66","IT","Salmonids",29969.3,"Italy"
"67","IT","Turbot",30,"Italy"
"68","LT","Catfish",891.11,"Lithuania"
"69","LT","Other",592.11,"Lithuania"
"70","LT","Carp",3152.39,"Lithuania"
"71","LT","Salmonids",223.4,"Lithuania"
"72","LV","Catfish",57.8,"Latvia"
"73","LV","Salmonids",27.9,"Latvia"
"74","LV","Carp",608.23,"Latvia"
"75","LV","Other",175.98,"Latvia"
"76","MD","Carp",10440,"Republic of Moldova"
"77","MD","Other",2470,"Republic of Moldova"
"78","ME","Bass and bream",141,"Montenegro"
"79","ME","Salmonids",721,"Montenegro"
"80","MK","Salmonids",1588.4,"North Macedonia"
"81","MK","Carp",217.2,"North Macedonia"
"82","MK","Other",8.6,"North Macedonia"
"83","MT","Other",15815.918,"Malta"
"84","MT","Turbot",0,"Malta"
"85","MT","Bass and bream",2234.621,"Malta"
"86","NL","Other",3790,"Netherlands (Kingdom of the)"
"87","NL","Catfish",2400,"Netherlands (Kingdom of the)"
"88","NL","Salmonids",50,"Netherlands (Kingdom of the)"
"89","NL","Turbot",100,"Netherlands (Kingdom of the)"
"90","NO","Salmonids",1637291.238,"Norway"
"91","NO","Other",8310.79,"Norway"
"92","PL","Catfish",200,"Poland"
"93","PL","Salmonids",20000,"Poland"
"94","PL","Carp",18936,"Poland"
"95","PL","Other",6974,"Poland"
"96","PT","Turbot",3800,"Portugal"
"97","PT","Other",349,"Portugal"
"98","PT","Bass and bream",5180,"Portugal"
"99","PT","Salmonids",860,"Portugal"
"100","RO","Salmonids",3107.16,"Romania"
"101","RO","Other",1463.34,"Romania"
"102","RO","Carp",6594.27,"Romania"
"103","RO","Catfish",46.01,"Romania"
"104","RS","Salmonids",1732.51,"Serbia"
"105","RS","Carp",3918.43,"Serbia"
"106","RS","Other",125.53,"Serbia"
"107","SE","Salmonids",7550,"Sweden"
"108","SE","Other",1431.2,"Sweden"
"109","SI","Catfish",76.3,"Slovenia"
"110","SI","Bass and bream",93,"Slovenia"
"111","SI","Carp",124.7,"Slovenia"
"112","SI","Other",71.9,"Slovenia"
"113","SI","Salmonids",742.1,"Slovenia"
"114","SK","Salmonids",1055,"Slovakia"
"115","SK","Carp",610,"Slovakia"
"116","SK","Catfish",850,"Slovakia"
"117","SK","Other",99,"Slovakia"
"118","TR","Salmonids",189801,"Türkiye"
"119","TR","Carp",293,"Türkiye"
"120","TR","Other",10119,"Türkiye"
"121","TR","Bass and bream",309071,"Türkiye"
